"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","San Jose Sharks","14","674.7167","3","8","3","3","9","0.321","622","652","48.82","448","481","48.22","327","347","48.52","24","36","40.00","29.46","28.76","50.60","322","342","48.49","196","198","49.75","15","33","31.25","7.65","83.33","137","123","52.69","101","91","52.60","4","18","18.18","3.96","80.22","185","219","45.79","95","107","47.03","11","15","42.31","11.58","85.98","253","273","48.10","115","129","47.13","9","3","75.00","7.83","97.67","7.34","89.63","0.970"
"2","Nashville Predators","12","537.5167","5","6","1","4","11","0.458","539","524","50.71","396","384","50.77","268","281","48.82","22","24","47.83","25.52","24.19","51.34","270","274","49.63","139","158","46.80","19","21","47.50","13.67","86.71","101","107","48.56","66","75","46.81","13","12","52.00","19.70","84.00","169","167","50.30","73","83","46.79","6","9","40.00","8.22","89.16","236","211","52.80","115","109","51.34","3","3","50.00","2.61","97.25","8.21","91.46","0.997"
"3","Tampa Bay Lightning","12","549.0667","7","4","1","7","15","0.625","503","512","49.56","370","368","50.14","268","269","49.91","25","25","50.00","24.72","25.07","49.65","296","293","50.25","160","155","50.79","19","23","45.24","11.88","85.16","131","114","53.47","88","76","53.66","13","12","52.00","14.77","84.21","165","179","47.97","72","79","47.68","6","11","35.29","8.33","86.08","175","187","48.34","97","106","47.78","6","2","75.00","6.19","98.11","9.33","90.71","1.000"
"4","New York Rangers","13","628.3833","6","4","3","6","15","0.577","630","536","54.03","479","381","55.70","333","286","53.80","22","27","44.90","30.15","25.41","54.26","340","287","54.23","186","160","53.76","19","23","45.24","10.22","85.63","140","117","54.47","95","85","52.78","12","15","44.44","12.63","82.35","200","170","54.05","91","75","54.82","7","8","46.67","7.69","89.33","247","211","53.93","137","115","54.37","3","4","42.86","2.19","96.52","6.61","90.56","0.972"
"5","Vegas Golden Knights","13","636.8333","11","2","0","11","22","0.846","645","655","49.62","475","443","51.74","357","314","53.20","30","20","60.00","33.45","24.65","57.57","369","310","54.34","223","161","58.07","27","19","58.70","12.11","88.20","161","107","60.07","118","73","61.78","13","12","52.00","11.02","83.56","208","203","50.61","105","88","54.40","14","7","66.67","13.33","92.05","228","285","44.44","113","131","46.31","3","0","100.00","2.65","100.00","8.40","93.63","1.020"
"6","Los Angeles Kings","14","633.7667","7","6","1","6","15","0.536","648","597","52.05","483","433","52.73","352","316","52.69","33","33","50.00","29.82","26.21","53.23","327","309","51.42","192","178","51.89","30","28","51.72","15.63","84.27","141","126","52.81","100","86","53.76","21","17","55.26","21.00","80.23","186","183","50.41","92","92","50.00","9","11","45.00","9.78","88.04","276","223","55.31","145","113","56.20","3","5","37.50","2.07","95.58","9.38","89.56","0.989"
"7","Boston Bruins","12","559.45","10","2","0","9","20","0.833","538","500","51.83","403","365","52.47","304","272","52.78","31","22","58.49","25.51","21.46","54.31","295","244","54.73","173","144","54.57","28","20","58.33","16.18","86.11","118","95","55.40","87","71","55.06","18","9","66.67","20.69","87.32","177","149","54.29","86","73","54.09","10","11","47.62","11.63","84.93","214","213","50.12","116","104","52.73","3","2","60.00","2.59","98.08","10.20","91.91","1.021"
"8","Washington Capitals","13","610.6","5","6","2","5","12","0.462","574","576","49.91","410","429","48.87","281","313","47.31","24","23","51.06","23.25","26.94","46.32","268","279","48.99","136","156","46.58","23","23","50.00","16.91","85.26","108","115","48.43","63","83","43.15","10","17","37.04","15.87","79.52","160","164","49.38","73","73","50.00","13","6","68.42","17.81","91.78","246","249","49.70","116","140","45.31","1","0","100.00","0.86","100.00","8.54","92.65","1.012"
"9","Columbus Blue Jackets","12","584.95","3","9","0","3","6","0.250","516","640","44.64","376","474","44.24","288","340","45.86","24","42","36.36","22.1","27.45","44.61","237","304","43.81","148","171","46.39","18","35","33.96","12.16","79.53","86","114","43.00","62","83","42.76","10","20","33.33","16.13","75.90","151","190","44.28","86","88","49.43","8","15","34.78","9.30","82.95","228","290","44.02","124","157","44.13","6","7","46.15","4.84","95.54","8.33","87.65","0.960"
"10","Carolina Hurricanes","12","557.25","8","3","1","6","17","0.708","657","396","62.39","483","301","61.61","323","228","58.62","25","20","55.56","28.78","19.69","59.38","324","202","61.60","171","129","57.00","20","16","55.56","11.70","87.60","130","93","58.30","86","64","57.33","14","10","58.33","16.28","84.38","194","109","64.03","85","65","56.67","6","6","50.00","7.06","90.77","281","150","65.20","137","79","63.43","5","4","55.56","3.65","94.94","7.74","91.23","0.990"
"11","Toronto Maple Leafs","13","605.75","7","4","2","7","16","0.615","587","545","51.86","429","406","51.38","307","284","51.95","21","19","52.50","27.95","25.29","52.50","320","284","52.98","167","158","51.38","19","19","50.00","11.38","87.97","137","125","52.29","85","87","49.42","17","12","58.62","20.00","86.21","183","159","53.51","82","71","53.59","2","7","22.22","2.44","90.14","240","226","51.50","128","110","53.78","2","0","100.00","1.56","100.00","6.84","93.31","1.002"
"12","Montreal Canadiens","12","577.6","5","6","1","5","11","0.458","515","543","48.68","377","385","49.48","279","283","49.64","25","24","51.02","22.5","26.95","45.50","246","321","43.39","129","171","43.00","21","21","50.00","16.28","87.72","90","136","39.82","60","90","40.00","13","19","40.63","21.67","78.89","156","185","45.75","69","81","46.00","8","2","80.00","11.59","97.53","226","191","54.20","135","102","56.96","4","3","57.14","2.96","97.06","8.96","91.52","1.005"
"13","Chicago Blackhawks","12","562.2","5","5","2","5","12","0.500","427","598","41.66","320","439","42.16","233","320","42.13","17","22","43.59","18.52","25.95","41.65","202","291","40.97","122","155","44.04","15","20","42.86","12.30","87.10","80","107","42.78","56","74","43.08","11","13","45.83","19.64","82.43","122","184","39.87","66","81","44.90","4","7","36.36","6.06","91.36","186","263","41.43","98","142","40.83","2","2","50.00","2.04","98.59","7.30","93.13","1.004"
