"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Pittsburgh Penguins","78","3834.4","44","23","11","41","99","0.635","3692","3410","51.99","2861","2556","52.82","2125","1935","52.34","168","148","53.16","168.41","147.04","53.39","1856","1647","52.98","1169","1030","53.16","146","132","52.52","12.49","87.18","753","646","53.82","601","513","53.95","101","95","51.53","16.81","81.48","1103","1001","52.42","568","517","52.35","45","37","54.88","7.92","92.84","1613","1536","51.22","861","814","51.40","22","16","57.89","2.56","98.03","7.91","92.35","1.003"
"2","Tampa Bay Lightning","77","3676.4333","47","22","8","45","102","0.662","3340","3182","51.21","2575","2438","51.37","1808","1778","50.42","168","140","54.55","158.96","141.37","52.93","1862","1677","52.61","1069","1004","51.57","146","123","54.28","13.66","87.75","778","633","55.14","541","471","53.46","93","89","51.10","17.19","81.10","1084","1044","50.94","528","533","49.76","53","34","60.92","10.04","93.62","1318","1352","49.36","683","706","49.17","21","17","55.26","3.07","97.59","9.29","92.13","1.014"
"3","Seattle Kraken","76","3714.6333","26","44","6","23","58","0.382","3239","3209","50.23","2408","2430","49.77","1724","1734","49.86","140","171","45.02","132.5","142.2","48.23","1534","1569","49.44","910","899","50.30","114","145","44.02","12.53","83.87","594","633","48.41","441","455","49.22","70","97","41.92","15.87","78.68","940","936","50.11","469","444","51.37","44","48","47.83","9.38","89.19","1492","1437","50.94","761","749","50.40","26","26","50.00","3.42","96.53","8.12","90.14","0.983"
"4","Vegas Golden Knights","78","3862.15","42","31","5","38","89","0.571","3886","3547","52.28","2913","2523","53.59","2137","1858","53.49","172","157","52.28","176.77","159.42","52.58","1905","1822","51.11","1141","1039","52.34","146","130","52.90","12.80","87.49","803","752","51.64","580","537","51.92","100","88","53.19","17.24","83.61","1102","1070","50.74","561","502","52.78","46","42","52.27","8.20","91.63","1662","1443","53.53","883","714","55.29","25","26","49.02","2.83","96.36","8.05","91.55","0.996"
"5","Montreal Canadiens","78","3733.3167","20","47","11","17","51","0.327","3243","3677","46.86","2397","2785","46.26","1797","2056","46.64","137","186","42.41","144.54","174.8","45.26","1593","1945","45.03","915","1157","44.16","115","161","41.67","12.57","86.08","661","807","45.03","460","583","44.10","63","116","35.20","13.70","80.10","932","1138","45.02","455","574","44.22","52","45","53.61","11.43","92.16","1378","1463","48.50","783","800","49.46","22","24","47.83","2.81","97.00","7.62","90.95","0.986"
"6","Toronto Maple Leafs","78","3812.65","51","21","6","49","108","0.692","3883","3363","53.59","2926","2584","53.10","2126","1901","52.79","199","177","52.93","181.44","148.2","55.04","2138","1678","56.03","1271","1026","55.33","175","155","53.03","13.77","84.89","828","669","55.31","599","485","55.26","107","105","50.47","17.86","78.35","1310","1009","56.49","672","541","55.40","68","50","57.63","10.12","90.76","1558","1459","51.64","783","772","50.35","23","22","51.11","2.94","97.15","9.36","90.69","1.000"
"7","New York Rangers","78","3854.2333","51","21","6","47","108","0.692","3179","3560","47.17","2402","2661","47.44","1749","1900","47.93","152","137","52.60","144.93","161.9","47.23","1586","1854","46.10","939","1046","47.30","129","120","51.81","13.74","88.53","688","747","47.94","511","532","48.99","88","83","51.46","17.22","84.40","898","1107","44.79","428","514","45.44","41","37","52.56","9.58","92.80","1399","1501","48.24","736","771","48.84","23","17","57.50","3.13","97.80","8.69","92.79","1.015"
"8","Washington Capitals","77","3740.0333","43","23","11","38","97","0.630","3427","3408","50.14","2625","2512","51.10","1869","1773","51.32","172","149","53.58","152.82","149.91","50.48","1719","1697","50.32","1007","961","51.17","142","123","53.58","14.10","87.20","657","670","49.51","449","474","48.65","84","85","49.70","18.71","82.07","1062","1027","50.84","558","487","53.40","58","38","60.42","10.39","92.20","1467","1456","50.19","771","735","51.20","30","26","53.57","3.89","96.46","9.20","91.60","1.008"
"9","Chicago Blackhawks","78","3803.75","26","41","11","21","63","0.404","3185","3751","45.92","2312","2721","45.94","1727","2036","45.89","134","183","42.27","130.55","159.38","45.03","1502","1828","45.11","912","1094","45.46","116","158","42.34","12.72","85.56","555","656","45.83","422","501","45.72","67","97","40.85","15.88","80.64","947","1172","44.69","490","593","45.24","49","61","44.55","10.00","89.71","1466","1700","46.30","743","879","45.81","18","25","41.86","2.42","97.16","7.76","91.01","0.988"
"10","Colorado Avalanche","77","3684.9167","55","16","6","51","116","0.753","3741","3362","52.67","2727","2546","51.72","2081","1914","52.09","187","137","57.72","157.29","143.84","52.23","1829","1570","53.81","1100","968","53.19","155","114","57.62","14.09","88.22","690","687","50.11","517","507","50.49","98","74","56.98","18.96","85.40","1139","883","56.33","583","461","55.84","57","40","58.76","9.78","91.32","1662","1525","52.15","879","856","50.66","32","22","59.26","3.64","97.43","8.99","92.84","1.018"
"11","Vancouver Canucks","78","3809.3333","38","29","11","35","87","0.558","3569","3580","49.92","2658","2651","50.07","1940","1948","49.90","147","134","52.31","153.27","158.6","49.15","1735","1826","48.72","1000","1090","47.85","123","118","51.04","12.30","89.17","635","718","46.93","451","529","46.02","77","78","49.68","17.07","85.26","1100","1108","49.82","549","561","49.46","46","40","53.49","8.38","92.87","1560","1503","50.93","849","769","52.47","24","16","60.00","2.83","97.92","7.58","93.12","1.007"
