"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Pittsburgh Penguins","72","3542.4167","41","21","10","38","92","0.639","3407","3103","52.33","2631","2325","53.09","1962","1741","52.98","152","136","52.78","154.59","134.49","53.48","1708","1508","53.11","1075","944","53.24","133","123","51.95","12.37","86.97","692","595","53.77","552","472","53.91","93","88","51.38","16.85","81.36","1016","913","52.67","523","472","52.56","40","35","53.33","7.65","92.58","1489","1387","51.77","796","712","52.79","19","13","59.38","2.39","98.17","7.75","92.19","0.999"
"2","Tampa Bay Lightning","71","3384.75","43","20","8","41","94","0.662","3064","2934","51.08","2372","2244","51.39","1664","1637","50.41","150","129","53.76","145.18","128.51","53.04","1705","1543","52.49","978","921","51.50","129","113","53.31","13.19","87.73","717","578","55.37","500","431","53.71","85","81","51.20","17.00","81.21","988","965","50.59","478","490","49.38","44","32","57.89","9.21","93.47","1215","1247","49.35","633","652","49.26","20","16","55.56","3.16","97.55","9.01","92.12","1.011"
"3","Seattle Kraken","71","3474.4","23","42","6","21","52","0.366","3041","3000","50.34","2262","2287","49.73","1627","1639","49.82","129","161","44.48","124.61","133.53","48.27","1437","1476","49.33","856","854","50.06","104","137","43.15","12.15","83.96","559","594","48.48","417","432","49.12","66","91","42.04","15.83","78.94","878","882","49.89","439","422","50.99","38","46","45.24","8.66","89.10","1406","1335","51.30","722","705","50.60","25","24","51.02","3.46","96.60","7.93","90.18","0.981"
"4","Vegas Golden Knights","72","3555.4667","39","29","4","35","82","0.569","3557","3273","52.08","2662","2313","53.51","1949","1697","53.46","155","145","51.67","161.62","145.96","52.55","1758","1688","51.02","1050","952","52.45","135","121","52.73","12.86","87.29","738","689","51.72","533","488","52.20","92","83","52.57","17.26","82.99","1020","999","50.52","517","464","52.70","43","38","53.09","8.32","91.81","1510","1324","53.28","801","652","55.13","19","23","45.24","2.37","96.47","7.95","91.46","0.994"
"5","Montreal Canadiens","71","3387.0167","20","40","11","17","51","0.359","2919","3330","46.71","2164","2539","46.01","1627","1874","46.47","127","163","43.79","130.29","158.72","45.08","1432","1755","44.93","831","1052","44.13","107","142","42.97","12.88","86.50","590","732","44.63","417","532","43.94","59","102","36.65","14.15","80.83","842","1023","45.15","414","520","44.33","48","40","54.55","11.59","92.31","1242","1349","47.94","704","737","48.85","20","20","50.00","2.84","97.29","7.81","91.30","0.991"
"6","Toronto Maple Leafs","71","3488.7833","46","19","6","44","98","0.690","3546","3081","53.51","2679","2368","53.08","1945","1747","52.68","180","161","52.79","166.13","136.31","54.93","1943","1536","55.85","1161","941","55.23","157","143","52.33","13.52","84.80","753","621","54.80","546","454","54.60","98","96","50.52","17.95","78.85","1190","915","56.53","615","487","55.81","59","47","55.66","9.59","90.35","1432","1338","51.70","717","709","50.28","22","18","55.00","3.07","97.46","9.25","90.78","1.000"
"7","New York Rangers","72","3540.7667","46","20","6","42","98","0.681","2899","3307","46.71","2196","2468","47.08","1594","1763","47.48","135","131","50.75","132.56","150.9","46.76","1443","1726","45.53","853","978","46.59","114","115","49.78","13.36","88.24","627","703","47.14","465","506","47.89","79","80","49.69","16.99","84.19","816","1023","44.37","388","472","45.12","35","35","50.00","9.02","92.58","1277","1389","47.90","671","710","48.59","21","16","56.76","3.13","97.75","8.47","92.57","1.010"
"8","Washington Capitals","70","3404.2167","38","22","10","33","86","0.614","3104","3070","50.28","2375","2273","51.10","1685","1611","51.12","148","131","53.05","137.09","134.31","50.51","1561","1528","50.53","912","875","51.04","126","110","53.39","13.82","87.43","587","595","49.66","400","422","48.66","73","76","48.99","18.25","81.99","974","933","51.07","512","453","53.06","53","34","60.92","10.35","92.49","1330","1318","50.23","690","670","50.74","22","21","51.16","3.19","96.87","8.78","91.87","1.007"
"9","Chicago Blackhawks","71","3468.8","24","36","11","20","59","0.415","2908","3400","46.10","2113","2461","46.20","1574","1840","46.10","119","161","42.50","118.96","145.14","45.04","1371","1666","45.14","830","998","45.40","102","139","42.32","12.29","86.07","509","589","46.36","384","454","45.82","59","86","40.69","15.36","81.06","862","1077","44.46","446","544","45.05","43","53","44.79","9.64","90.26","1339","1532","46.64","677","786","46.27","17","22","43.59","2.51","97.20","7.56","91.25","0.988"
"10","Colorado Avalanche","71","3373.65","51","14","6","48","108","0.761","3434","3054","52.93","2503","2313","51.97","1920","1747","52.36","168","124","57.53","144.67","132.54","52.19","1671","1444","53.64","1012","888","53.26","137","103","57.08","13.54","88.40","634","626","50.32","476","461","50.80","87","64","57.62","18.28","86.12","1037","818","55.90","536","427","55.66","50","39","56.18","9.33","90.87","1535","1378","52.69","817","782","51.09","31","20","60.78","3.79","97.44","8.75","92.90","1.017"
