"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","San Jose Sharks","41","1984.5","12","21","8","11","32","0.390","1826","1894","49.09","1339","1370","49.43","947","975","49.27","90","106","45.92","92.51","82.92","52.74","1026","960","51.66","575","541","51.52","77","95","44.77","13.39","82.44","451","352","56.16","303","242","55.60","47","49","48.96","15.51","79.75","575","608","48.61","272","299","47.64","30","46","39.47","11.03","84.62","676","798","45.86","329","381","46.34","13","11","54.17","3.95","97.11","9.50","89.13","0.986"
"2","Nashville Predators","38","1786.7","18","14","6","16","42","0.553","1743","1815","48.99","1273","1338","48.76","891","975","47.75","69","68","50.36","81.65","84.87","49.03","872","928","48.44","461","534","46.33","55","59","48.25","11.93","88.95","359","374","48.98","245","263","48.23","38","32","54.29","15.51","87.83","513","554","48.08","216","271","44.35","17","27","38.64","7.87","90.04","739","733","50.20","382","382","50.00","14","9","60.87","3.66","97.64","7.74","93.03","1.008"
"3","Tampa Bay Lightning","38","1785.45","24","13","1","23","49","0.645","1726","1592","52.02","1294","1177","52.37","917","878","51.09","80","69","53.69","88.52","74.9","54.17","993","841","54.14","562","472","54.35","67","56","54.47","11.92","88.14","458","331","58.05","301","238","55.84","49","32","60.49","16.28","86.55","535","510","51.20","261","234","52.73","18","24","42.86","6.90","89.74","637","645","49.69","319","367","46.50","12","13","48.00","3.76","96.46","8.72","92.14","1.009"
"4","New York Rangers","41","1981.3167","22","12","7","21","51","0.622","1858","1772","51.18","1387","1282","51.97","999","930","51.79","86","75","53.42","83.34","82.27","50.32","929","942","49.65","505","523","49.12","67","58","53.60","13.27","88.91","376","389","49.15","255","269","48.66","45","38","54.22","17.65","85.87","553","553","50.00","250","254","49.60","22","20","52.38","8.80","92.13","781","689","53.13","448","364","55.17","19","17","52.78","4.24","95.33","8.61","91.94","1.005"
"5","Vegas Golden Knights","42","2080.2167","27","13","2","24","56","0.667","1993","2022","49.64","1447","1409","50.67","1054","1015","50.94","86","86","50.00","94.26","82.72","53.26","1006","974","50.81","582","520","52.81","77","69","52.74","13.23","86.73","441","356","55.33","309","244","55.88","47","39","54.65","15.21","84.02","565","618","47.76","273","276","49.73","30","30","50.00","10.99","89.13","791","868","47.68","405","440","47.93","9","16","36.00","2.22","96.36","8.16","91.53","0.997"
"6","Los Angeles Kings","43","2047.0667","23","14","6","19","52","0.605","2000","1856","51.87","1482","1294","53.39","1070","905","54.18","88","83","51.46","88.82","79.27","52.84","1027","945","52.08","602","506","54.33","77","71","52.03","12.79","85.97","418","374","52.78","291","247","54.09","44","45","49.44","15.12","81.78","609","571","51.61","311","259","54.56","33","26","55.93","10.61","89.96","824","735","52.85","429","343","55.57","11","12","47.83","2.56","96.50","8.22","90.83","0.991"
"7","Boston Bruins","40","1888.8","32","4","4","30","68","0.850","1831","1676","52.21","1378","1216","53.12","1034","886","53.85","96","56","63.16","87.48","71.84","54.91","986","834","54.18","587","453","56.44","80","48","62.50","13.63","89.40","412","335","55.15","306","240","56.04","54","29","65.06","17.65","87.92","574","499","53.49","281","213","56.88","26","19","57.78","9.25","91.08","750","713","51.26","400","366","52.22","16","8","66.67","4.00","97.81","9.28","93.68","1.030"
"8","Washington Capitals","43","2073.1167","23","14","6","23","52","0.605","2017","1962","50.69","1473","1428","50.78","1057","1006","51.24","91","77","54.17","90.01","86.21","51.08","999","963","50.92","577","531","52.08","83","65","56.08","14.38","87.76","395","389","50.38","268","260","50.76","49","45","52.13","18.28","82.69","604","574","51.27","309","271","53.28","34","20","62.96","11.00","92.62","822","845","49.31","400","423","48.60","8","12","40.00","2.00","97.16","8.61","92.35","1.010"
"9","Columbus Blue Jackets","39","1892.4833","12","25","2","11","26","0.333","1684","2023","45.43","1224","1480","45.27","876","1069","45.04","66","104","38.82","71.38","88.19","44.73","781","963","44.78","464","537","46.35","48","88","35.29","10.34","83.61","296","389","43.21","211","259","44.89","27","55","32.93","12.80","78.76","485","574","45.80","253","278","47.65","21","33","38.89","8.30","88.13","739","896","45.20","371","483","43.44","18","16","52.94","4.85","96.69","7.53","90.27","0.978"
"10","Carolina Hurricanes","40","1878.5333","25","8","7","22","57","0.713","2113","1389","60.34","1574","1055","59.87","1095","765","58.87","81","60","57.45","97.56","65.87","59.69","1034","691","59.94","579","423","57.78","69","52","57.02","11.92","87.71","451","325","58.12","314","226","58.15","45","30","60.00","14.33","86.73","583","366","61.43","265","197","57.36","24","22","52.17","9.06","88.83","896","547","62.09","479","280","63.11","12","8","60.00","2.51","97.14","7.40","92.16","0.996"
