"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Pittsburgh Penguins","12","587.3167","5","3","4","4","14","0.583","569","524","52.06","442","394","52.87","334","311","51.78","28","23","54.90","25.87","21.13","55.04","285","278","50.62","185","180","50.68","27","21","56.25","14.59","88.33","124","92","57.41","105","79","57.07","18","11","62.07","17.14","86.08","161","186","46.40","80","101","44.20","9","10","47.37","11.25","90.10","258","216","54.43","135","117","53.57","1","2","33.33","0.74","98.29","8.38","92.60","1.010"
"2","Tampa Bay Lightning","12","559.7833","6","3","3","6","15","0.625","499","463","51.87","390","349","52.77","279","260","51.76","21","20","51.22","22.89","19.85","53.57","267","240","52.66","149","152","49.50","18","16","52.94","12.08","89.47","108","83","56.54","71","66","51.82","12","11","52.17","16.90","83.33","159","157","50.32","78","86","47.56","6","5","54.55","7.69","94.19","205","203","50.25","119","100","54.34","3","4","42.86","2.52","96.00","7.53","92.31","0.998"
"3","Seattle Kraken","14","677.5667","4","9","1","4","9","0.321","591","550","51.80","443","409","52.00","316","297","51.55","29","38","43.28","25.3","23.14","52.23","293","255","53.47","187","160","53.89","26","32","44.83","13.90","80.00","115","97","54.25","89","84","51.45","14","21","40.00","15.73","75.00","178","158","52.98","98","76","56.32","12","11","52.17","12.24","85.53","261","265","49.62","124","126","49.60","3","6","33.33","2.42","95.24","9.18","87.21","0.964"
"4","Vegas Golden Knights","14","694.2","8","6","0","7","16","0.571","682","702","49.28","498","509","49.45","368","376","49.46","29","30","49.15","29.01","34.23","45.87","314","377","45.44","188","224","45.63","25","27","48.08","13.30","87.95","133","154","46.34","97","112","46.41","17","21","44.74","17.53","81.25","181","223","44.80","91","112","44.83","8","6","57.14","8.79","94.64","310","272","53.26","157","137","53.40","4","3","57.14","2.55","97.81","7.88","92.02","0.999"
"5","Montreal Canadiens","15","697.6167","4","10","1","4","9","0.300","645","604","51.64","451","446","50.28","342","323","51.43","19","27","41.30","27.69","25.04","52.51","332","300","52.53","187","168","52.68","17","23","42.50","9.09","86.31","132","118","52.80","96","80","54.55","10","18","35.71","10.42","77.50","200","182","52.36","91","88","50.84","7","5","58.33","7.69","94.32","266","252","51.35","143","138","50.89","2","4","33.33","1.40","97.10","5.56","91.64","0.972"
"6","Toronto Maple Leafs","15","736.4667","9","5","1","9","19","0.633","778","668","53.80","566","524","51.93","403","384","51.21","24","27","47.06","36.52","29.6","55.24","452","345","56.71","256","214","54.47","23","24","48.94","8.98","88.79","166","144","53.55","124","103","54.63","15","16","48.39","12.10","84.47","286","201","58.73","132","111","54.32","8","8","50.00","6.06","92.79","296","281","51.30","132","147","47.31","1","3","25.00","0.76","97.96","5.96","92.97","0.989"
"7","New York Rangers","13","612.6167","7","3","3","7","17","0.654","486","635","43.35","353","478","42.48","230","325","41.44","16","22","42.11","20.25","28.02","41.95","240","347","40.89","136","191","41.59","16","22","42.11","11.76","88.48","85","122","41.06","64","88","42.11","6","14","30.00","9.38","84.09","155","225","40.79","72","103","41.14","10","8","55.56","13.89","92.23","209","250","45.53","84","116","42.00","0","0","-","0.00","100.00","6.96","93.23","1.002"
"8","Washington Capitals","14","671.3","8","2","4","8","20","0.714","595","581","50.60","471","411","53.40","336","295","53.25","36","22","62.07","26.82","24.23","52.54","307","295","51.00","183","162","53.04","30","14","68.18","16.39","91.36","120","111","51.95","85","79","51.83","14","11","56.00","16.47","86.08","187","184","50.40","98","83","54.14","16","3","84.21","16.33","96.39","251","238","51.33","135","124","52.12","6","8","42.86","4.44","93.55","10.71","92.54","1.033"
"9","Chicago Blackhawks","15","699.8333","4","9","2","3","10","0.333","556","698","44.34","399","512","43.80","291","378","43.50","16","41","28.07","21.63","30.36","41.61","276","360","43.40","156","212","42.39","15","37","28.85","9.62","82.55","101","122","45.29","75","104","41.90","11","25","30.56","14.67","75.96","175","238","42.37","81","108","42.86","4","12","25.00","4.94","88.89","243","294","45.25","126","155","44.84","1","4","20.00","0.79","97.42","5.50","89.15","0.947"
"10","Colorado Avalanche","11","511.8333","5","5","1","4","11","0.500","490","475","50.78","351","347","50.29","272","269","50.28","22","25","46.81","21.26","18.37","53.65","264","212","55.46","164","128","56.16","16","22","42.11","9.76","82.81","99","74","57.23","81","60","57.45","9","10","47.37","11.11","83.33","165","138","54.46","83","68","54.97","7","12","36.84","8.43","82.35","194","218","47.09","99","120","45.21","6","3","66.67","6.06","97.50","8.09","90.71","0.988"
