"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Pittsburgh Penguins","49","2428.95","30","11","8","28","68","0.694","2342","2124","52.44","1799","1580","53.24","1345","1188","53.10","107","84","56.02","104.88","92.21","53.21","1173","1056","52.62","733","644","53.23","96","77","55.49","13.10","88.04","458","405","53.07","360","321","52.86","62","55","52.99","17.22","82.87","715","651","52.34","373","323","53.59","34","22","60.71","9.12","93.19","1025","923","52.62","552","482","53.38","11","7","61.11","1.99","98.55","7.96","92.93","1.009"
"2","Tampa Bay Lightning","48","2297.7333","31","11","6","29","68","0.708","2078","1959","51.47","1609","1499","51.77","1119","1107","50.27","104","83","55.61","97.14","83.21","53.86","1150","1032","52.70","653","628","50.98","86","73","54.09","13.17","88.38","503","372","57.49","350","285","55.12","58","49","54.21","16.57","82.81","647","660","49.50","303","343","46.90","28","24","53.85","9.24","93.00","829","837","49.76","429","437","49.54","17","10","62.96","3.96","97.71","9.29","92.50","1.018"
"3","Seattle Kraken","48","2338.1167","16","28","4","15","36","0.375","1982","1997","49.81","1478","1493","49.75","1065","1073","49.81","86","114","43.00","80.28","85.33","48.48","928","958","49.20","554","553","50.05","66","95","40.99","11.91","82.82","364","369","49.66","267","276","49.17","40","61","39.60","14.98","77.90","564","589","48.92","287","277","50.89","26","34","43.33","9.06","87.73","927","914","50.35","482","469","50.68","20","19","51.28","4.15","95.95","8.08","89.38","0.975"
"4","Vegas Golden Knights","48","2360.7167","28","17","3","24","59","0.615","2312","2154","51.77","1732","1529","53.11","1275","1124","53.15","110","97","53.14","107.44","99.43","51.94","1144","1133","50.24","688","637","51.92","96","83","53.63","13.95","86.97","481","478","50.16","354","339","51.08","65","61","51.59","18.36","82.01","663","655","50.30","334","298","52.85","31","22","58.49","9.28","92.62","988","863","53.38","526","430","55.02","14","13","51.85","2.66","96.98","8.63","91.37","1.000"
"5","Montreal Canadiens","48","2294.1167","8","33","7","7","23","0.240","1996","2240","47.12","1473","1728","46.02","1106","1274","46.47","73","119","38.02","85.7","105.7","44.77","974","1164","45.56","564","703","44.51","63","104","37.72","11.17","85.21","401","476","45.72","292","349","45.55","38","76","33.33","13.01","78.22","573","688","45.44","272","354","43.45","25","28","47.17","9.19","92.09","845","920","47.88","476","506","48.47","10","15","40.00","2.10","97.04","6.60","90.66","0.973"
"6","Toronto Maple Leafs","45","2215.7667","30","12","3","28","63","0.700","2238","1960","53.31","1687","1524","52.54","1240","1109","52.79","105","93","53.03","106.99","87.63","54.97","1255","987","55.98","775","604","56.20","94","85","52.51","12.13","85.93","483","399","54.76","370","289","56.15","59","58","50.43","15.95","79.93","772","588","56.76","405","315","56.25","35","27","56.45","8.64","91.43","884","850","50.98","427","442","49.14","10","8","55.56","2.34","98.19","8.47","91.61","1.001"
"7","New York Rangers","47","2283.1667","30","13","4","27","64","0.681","1808","2273","44.30","1368","1684","44.82","992","1191","45.44","86","85","50.29","83.24","101.32","45.10","886","1170","43.09","525","651","44.64","71","75","48.63","13.52","88.48","395","468","45.77","289","333","46.46","48","54","47.06","16.61","83.78","491","702","41.16","236","318","42.60","23","21","52.27","9.75","93.40","797","980","44.85","411","494","45.41","15","10","60.00","3.65","97.98","8.67","92.86","1.015"
"8","Washington Capitals","50","2441.6833","26","15","9","24","61","0.610","2271","2145","51.43","1717","1593","51.87","1228","1143","51.79","112","86","56.57","99.68","94.5","51.33","1154","1090","51.43","675","631","51.68","96","70","57.83","14.22","88.91","431","428","50.17","303","296","50.58","57","47","54.81","18.81","84.12","723","662","52.20","372","335","52.62","39","23","62.90","10.48","93.13","968","903","51.74","499","465","51.76","16","16","50.00","3.21","96.56","9.12","92.48","1.016"
"9","Chicago Blackhawks","48","2321.4333","17","24","7","14","41","0.427","1951","2249","46.45","1413","1604","46.83","1042","1182","46.85","69","100","40.83","79.19","93.02","45.98","917","1100","45.46","546","656","45.42","59","87","40.41","10.81","86.74","345","363","48.73","253","289","46.68","36","55","39.56","14.23","80.97","572","737","43.70","293","367","44.39","23","32","41.82","7.85","91.28","910","1015","47.27","460","490","48.42","10","13","43.48","2.17","97.35","6.62","91.54","0.982"
"10","Colorado Avalanche","46","2152.5333","34","8","4","31","72","0.783","2179","1905","53.35","1569","1433","52.27","1207","1074","52.92","113","81","58.25","89.58","80.27","52.74","1041","890","53.91","627","544","53.54","93","67","58.13","14.83","87.68","397","373","51.56","305","277","52.41","62","41","60.19","20.33","85.20","644","517","55.47","322","267","54.67","31","26","54.39","9.63","90.26","992","855","53.71","518","477","52.06","20","14","58.82","3.86","97.06","9.36","92.46","1.018"
"11","Vancouver Canucks","49","2368.3","22","21","6","19","50","0.510","2221","2232","49.88","1639","1640","49.98","1215","1205","50.21","76","74","50.67","91.86","95.79","48.95","1079","1107","49.36","629","657","48.91","63","63","50.00","10.02","90.41","380","426","47.15","275","321","46.14","37","42","46.84","13.45","86.92","699","681","50.65","354","336","51.30","26","21","55.32","7.34","93.75","978","971","50.18","528","498","51.46","13","11","54.17","2.46","97.79","6.26","93.86","1.001"
"12","Edmonton Oilers","45","2214.4667","24","18","3","21","51","0.567","2170","1973","52.38","1581","1529","50.84","1160","1153","50.15","90","100","47.37","92.79","89.22","50.98","1036","1030","50.15","592","641","48.01","79","76","50.97","13.34","88.14","397","418","48.71","296","310","48.84","54","51","51.43","18.24","83.55","639","612","51.08","296","331","47.21","25","25","50.00","8.45","92.45","994","809","55.13","524","458","53.36","11","23","32.35","2.10","94.98","7.76","91.33","0.991"
"13","Buffalo Sabres","47","2318.2833","15","24","8","13","38","0.404","1939","2192","46.94","1476","1732","46.01","1097","1304","45.69","88","107","45.13","80.32","97.95","45.06","902","1064","45.88","532","667","44.37","75","89","45.73","14.10","86.66","365","443","45.17","263","337","43.83","50","57","46.73","19.01","83.09","537","621","46.37","269","330","44.91","25","32","43.86","9.29","90.30","916","1011","47.54","519","590","46.80","13","17","43.33","2.50","97.12","8.02","91.79","0.998"
"14","Ottawa Senators","45","2149.3667","17","24","4","16","38","0.422","1919","2203","46.56","1461","1637","47.16","1059","1167","47.57","85","93","47.75","83.29","94.13","46.95","933","1084","46.26","549","616","47.12","67","84","44.37","12.20","86.36","367","429","46.11","268","305","46.77","45","53","45.92","16.79","82.62","566","655","46.36","281","311","47.47","22","31","41.51","7.83","90.03","856","962","47.08","451","489","47.98","18","9","66.67","3.99","98.16","8.03","92.03","1.001"
"15","Detroit Red Wings","49","2379.15","22","21","6","20","50","0.510","1975","2264","46.59","1493","1713","46.57","1128","1274","46.96","94","106","47.00","94.3","101.99","48.04","1007","1171","46.24","608","702","46.41","84","84","50.00","13.82","88.03","411","496","45.31","308","348","46.95","55","52","51.40","17.86","85.06","596","675","46.89","300","354","45.87","29","32","47.54","9.67","90.96","822","960","46.13","466","528","46.88","10","21","32.26","2.15","96.02","8.33","91.68","1.000"
"16","Florida Panthers","47","2255.5667","32","10","5","30","69","0.734","2463","1959","55.70","1839","1481","55.39","1392","1154","54.67","134","88","60.36","115.64","94.81","54.95","1303","1013","56.26","823","659","55.53","121","73","62.37","14.70","88.92","517","446","53.69","401","349","53.47","80","49","62.02","19.95","85.96","786","567","58.09","422","310","57.65","41","24","63.08","9.72","92.26","1015","816","55.43","512","433","54.18","13","15","46.43","2.54","96.54","9.63","92.37","1.020"
"17","Dallas Stars","46","2228.4833","25","19","2","23","52","0.565","2011","2086","49.08","1493","1540","49.23","1071","1124","48.79","84","91","48.00","87.13","86.14","50.29","1005","969","50.91","589","596","49.70","79","81","49.38","13.41","86.41","424","375","53.07","306","277","52.49","61","52","53.98","19.93","81.23","581","594","49.45","283","319","47.01","18","29","38.30","6.36","90.91","852","924","47.97","412","463","47.09","5","10","33.33","1.21","97.84","7.84","91.90","0.997"
"18","New York Islanders","42","2072.0333","17","19","6","16","40","0.476","1727","1978","46.61","1294","1451","47.14","941","1051","47.24","69","78","46.94","80.87","82.95","49.36","918","1021","47.34","530","589","47.36","56","63","47.06","10.57","89.30","363","373","49.32","270","292","48.04","41","44","48.24","15.19","84.93","555","648","46.13","260","297","46.68","15","19","44.12","5.77","93.60","714","863","45.28","370","426","46.48","11","15","42.31","2.97","96.48","7.33","92.58","0.999"
"19","Carolina Hurricanes","46","2164.6","32","11","3","31","67","0.728","2290","1870","55.05","1723","1439","54.49","1217","1025","54.28","114","79","59.07","109.1","94.21","53.66","1104","948","53.80","613","565","52.04","95","69","57.93","15.50","87.79","484","411","54.08","329","296","52.64","64","52","55.17","19.45","82.43","620","537","53.59","284","269","51.36","31","17","64.58","10.92","93.68","1012","760","57.11","556","408","57.68","19","10","65.52","3.42","97.55","9.37","92.29","1.017"
"20","Arizona Coyotes","48","2314.8167","12","32","4","11","28","0.292","1823","2190","45.43","1389","1660","45.56","974","1250","43.79","81","119","40.50","79.19","97.83","44.73","868","1063","44.95","523","676","43.62","68","100","40.48","13.00","85.21","370","450","45.12","267","348","43.41","46","61","42.99","17.23","82.47","498","613","44.82","256","328","43.84","22","39","36.07","8.59","88.11","826","985","45.61","413","525","44.03","13","19","40.63","3.15","96.38","8.32","90.48","0.988"
"21","Columbus Blue Jackets","46","2270.1833","23","22","1","20","47","0.511","2076","2258","47.90","1552","1760","46.86","1114","1314","45.88","100","124","44.64","89.19","105.25","45.87","998","1161","46.23","576","742","43.70","82","99","45.30","14.24","86.66","369","468","44.09","275","357","43.51","53","57","48.18","19.27","84.03","629","693","47.58","301","385","43.88","29","42","40.85","9.63","89.09","939","980","48.93","481","525","47.81","18","25","41.86","3.74","95.24","8.98","90.56","0.995"
"22","Nashville Predators","48","2242.8333","28","16","4","27","60","0.625","1981","1990","49.89","1507","1516","49.85","1080","1104","49.45","95","82","53.67","87.79","84.01","51.10","1017","983","50.85","601","592","50.38","87","71","55.06","14.48","88.01","370","345","51.75","276","257","51.78","54","45","54.55","19.57","82.49","647","638","50.35","325","335","49.24","33","26","55.93","10.15","92.24","852","886","49.02","436","473","47.96","8","11","42.11","1.83","97.67","8.80","92.57","1.014"
