"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Pittsburgh Penguins","8","390.3167","3","3","2","3","8","0.500","362","340","51.57","282","252","52.81","210","198","51.47","18","16","52.94","16.19","12.83","55.80","183","176","50.97","118","111","51.53","17","14","54.84","14.41","87.39","73","56","56.59","62","48","56.36","12","8","60.00","19.35","83.33","110","120","47.83","56","63","47.06","5","6","45.45","8.93","90.48","160","144","52.63","82","77","51.57","1","2","33.33","1.22","97.40","8.57","91.92","1.005"
"2","Tampa Bay Lightning","8","372.0667","4","3","1","4","9","0.563","345","304","53.16","266","236","52.99","194","173","52.86","14","16","46.67","14.96","12.65","54.19","178","153","53.78","99","98","50.25","12","13","48.00","12.12","86.73","74","49","60.16","50","40","55.56","8","9","47.06","16.00","77.50","104","104","50.00","49","58","45.79","4","4","50.00","8.16","93.10","144","136","51.43","86","68","55.84","2","3","40.00","2.33","95.59","7.22","90.75","0.980"
"3","Seattle Kraken","8","389.8333","3","4","1","3","7","0.438","334","327","50.53","253","247","50.60","183","178","50.69","16","20","44.44","14.07","14.38","49.47","160","156","50.63","100","95","51.28","14","18","43.75","14.00","81.05","67","58","53.60","53","51","50.96","10","12","45.45","18.87","76.47","93","98","48.69","47","44","51.65","4","6","40.00","8.51","86.36","152","152","50.00","79","75","51.30","2","2","50.00","2.53","97.33","8.74","88.76","0.975"
"4","Vegas Golden Knights","8","406.5833","4","4","0","3","8","0.500","412","430","48.93","301","312","49.10","223","231","49.12","16","20","44.44","17.79","21.77","44.97","191","227","45.69","111","132","45.68","14","18","43.75","12.61","86.36","83","100","45.36","62","72","46.27","11","16","40.74","17.74","77.78","108","127","45.96","49","60","44.95","3","2","60.00","6.12","96.67","193","172","52.88","96","90","51.61","2","2","50.00","2.08","97.78","7.17","91.34","0.985"
"5","Montreal Canadiens","9","424.1167","2","7","0","2","4","0.222","360","382","48.52","251","286","46.74","190","204","48.22","12","16","42.86","14.62","15.77","48.10","177","199","47.07","105","115","47.73","10","14","41.67","9.52","87.83","63","77","45.00","47","53","47.00","5","10","33.33","10.64","81.13","114","122","48.31","58","62","48.33","5","4","55.56","8.62","93.55","152","150","50.33","77","76","50.33","2","2","50.00","2.60","97.37","6.32","92.16","0.985"
"6","Toronto Maple Leafs","9","434.7667","4","4","1","4","9","0.500","478","376","55.97","355","296","54.53","242","220","52.38","16","20","44.44","21.88","17.83","55.09","267","212","55.74","144","136","51.43","15","18","45.45","10.42","86.76","102","88","53.68","76","67","53.15","9","11","45.00","11.84","83.58","165","124","57.09","68","69","49.64","6","7","46.15","8.82","89.86","191","136","58.41","87","70","55.41","1","2","33.33","1.15","97.14","6.61","90.91","0.975"
"7","New York Rangers","8","370.4333","5","2","1","5","11","0.688","326","348","48.37","236","264","47.20","156","190","45.09","10","9","52.63","13.99","14.52","49.07","165","191","46.35","95","106","47.26","10","9","52.63","10.53","91.51","55","53","50.93","41","38","51.90","5","4","55.56","12.20","89.47","110","138","44.35","54","68","44.26","5","5","50.00","9.26","92.65","136","134","50.37","54","71","43.20","0","0","-","0.00","100.00","6.41","95.26","1.017"
"8","Washington Capitals","8","380.25","5","0","3","5","13","0.813","348","314","52.57","266","215","55.30","188","154","54.97","20","9","68.97","15.97","12.49","56.13","183","161","53.20","102","85","54.55","17","4","80.95","16.67","95.29","71","60","54.20","50","42","54.35","8","4","66.67","16.00","90.48","112","101","52.58","52","43","54.74","9","0","100.00","17.31","100.00","141","125","53.01","75","65","53.57","3","5","37.50","4.00","92.31","10.64","94.16","1.048"
"9","Chicago Blackhawks","9","413.7","0","7","2","0","2","0.111","341","406","45.65","244","307","44.28","173","224","43.58","7","29","19.44","13.41","17.78","42.99","171","211","44.76","92","124","42.59","7","26","21.21","7.61","79.03","65","66","49.62","47","56","45.63","5","16","23.81","10.64","71.43","106","145","42.23","45","68","39.82","2","10","16.67","4.44","85.29","148","173","46.11","77","94","45.03","0","3","0.00","0.00","96.81","4.05","87.05","0.911"
"10","Colorado Avalanche","8","366.8","4","4","0","3","8","0.500","357","338","51.37","250","248","50.20","195","188","50.91","14","17","45.16","14.49","12.62","53.46","190","147","56.38","114","87","56.72","11","15","42.31","9.65","82.76","68","48","58.62","55","38","59.14","7","6","53.85","12.73","84.21","122","99","55.20","59","49","54.63","4","9","30.77","6.78","81.63","145","162","47.23","75","87","46.30","3","2","60.00","4.00","97.70","7.18","90.96","0.981"
"11","Vancouver Canucks","9","422.4667","3","5","1","2","7","0.389","363","384","48.59","264","289","47.74","196","221","47.00","12","14","46.15","13.12","17.93","42.25","155","198","43.91","91","129","41.36","8","12","40.00","8.79","90.70","54","85","38.85","42","68","38.18","4","8","33.33","9.52","88.24","101","113","47.20","49","61","44.55","4","4","50.00","8.16","93.44","179","158","53.12","96","83","53.63","4","2","66.67","4.17","97.59","6.12","93.67","0.998"
"12","Edmonton Oilers","7","337.45","6","1","0","5","12","0.857","321","326","49.61","238","251","48.67","176","190","48.09","13","14","48.15","14.49","13.37","52.01","154","153","50.16","87","101","46.28","10","9","52.63","11.49","91.09","62","62","50.00","46","50","47.92","7","6","53.85","15.22","88.00","92","91","50.27","41","51","44.57","3","3","50.00","7.32","94.12","145","140","50.88","84","76","52.50","3","4","42.86","3.57","94.74","7.39","92.63","1.000"
"13","Buffalo Sabres","7","346.1333","5","1","1","4","11","0.786","309","299","50.82","242","235","50.73","177","179","49.72","12","9","57.14","13.12","12.96","50.31","164","139","54.13","97","81","54.49","10","9","52.63","10.31","88.89","67","73","47.86","49","55","47.12","7","5","58.33","14.29","90.91","97","66","59.51","48","26","64.86","3","4","42.86","6.25","84.62","137","144","48.75","78","94","45.35","2","0","100.00","2.56","100.00","6.78","94.97","1.018"
"14","Ottawa Senators","7","339.05","3","4","0","3","6","0.429","311","345","47.41","233","247","48.54","163","182","47.25","12","14","46.15","13.57","14","49.21","164","172","48.81","102","97","51.26","8","12","40.00","7.84","87.63","66","69","48.89","45","51","46.88","4","8","33.33","8.89","84.31","98","103","48.76","57","46","55.34","4","4","50.00","7.02","91.30","128","158","44.76","54","79","40.60","4","2","66.67","7.41","97.47","7.36","92.31","0.997"
"15","Detroit Red Wings","9","413.55","4","3","2","4","10","0.556","352","411","46.13","280","301","48.19","220","216","50.46","18","17","51.43","17.71","17.86","49.79","178","213","45.52","118","121","49.37","18","14","56.25","15.25","88.43","67","101","39.88","54","69","43.90","12","9","57.14","22.22","86.96","111","112","49.78","64","52","55.17","6","5","54.55","9.38","90.38","153","168","47.66","91","81","52.91","0","3","0.00","0.00","96.30","8.18","92.13","1.003"
"16","Florida Panthers","9","418.4167","8","0","1","8","17","0.944","443","349","55.93","326","261","55.54","246","198","55.41","22","11","66.67","17.22","16.25","51.44","210","178","54.12","132","111","54.32","22","8","73.33","16.67","92.79","74","67","52.48","58","54","51.79","17","5","77.27","29.31","90.74","136","111","55.06","74","57","56.49","5","3","62.50","6.76","94.74","210","153","57.85","108","77","58.38","0","3","0.00","0.00","96.10","8.94","94.44","1.034"
"17","Dallas Stars","8","384.55","3","4","1","2","7","0.438","343","359","48.86","258","253","50.49","189","184","50.67","7","13","35.00","14.26","13.16","52.00","182","164","52.60","106","96","52.48","7","11","38.89","6.60","88.54","69","61","53.08","49","46","51.58","5","8","38.46","10.20","82.61","113","103","52.31","57","50","53.27","2","3","40.00","3.51","94.00","146","165","46.95","76","76","50.00","0","2","0.00","0.00","97.37","3.70","92.93","0.966"
