"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Pittsburgh Penguins","68","3343.0333","40","18","10","37","90","0.662","3203","2922","52.29","2473","2179","53.16","1840","1632","53.00","145","124","53.90","146.29","126.93","53.54","1605","1425","52.97","1009","883","53.33","128","113","53.11","12.69","87.20","647","561","53.56","517","445","53.74","89","82","52.05","17.21","81.57","958","864","52.58","492","438","52.90","39","31","55.71","7.93","92.92","1399","1297","51.89","746","668","52.76","17","11","60.71","2.28","98.35","7.88","92.40","1.003"
"2","Tampa Bay Lightning","66","3142.5333","42","18","6","40","90","0.682","2827","2718","50.98","2190","2075","51.35","1534","1510","50.39","140","115","54.90","134.94","118.31","53.28","1563","1432","52.19","903","850","51.51","119","101","54.09","13.18","88.12","670","528","55.93","468","395","54.23","78","72","52.00","16.67","81.77","893","904","49.69","435","455","48.88","41","29","58.57","9.43","93.63","1134","1151","49.63","583","601","49.24","20","14","58.82","3.43","97.67","9.13","92.38","1.015"
"3","Seattle Kraken","67","3271.4167","21","40","6","19","48","0.358","2844","2835","50.08","2115","2151","49.58","1526","1541","49.76","122","156","43.88","116.06","125.02","48.14","1341","1386","49.17","796","797","49.97","98","132","42.61","12.31","83.44","524","557","48.47","389","405","48.99","63","88","41.72","16.20","78.27","817","829","49.64","407","392","50.94","35","44","44.30","8.60","88.78","1315","1274","50.79","684","671","50.48","24","24","50.00","3.51","96.42","7.99","89.88","0.979"
"4","Vegas Golden Knights","69","3398.9333","37","28","4","33","78","0.565","3432","3117","52.40","2567","2213","53.70","1876","1629","53.52","149","139","51.74","155.48","140.92","52.46","1697","1612","51.28","1010","913","52.52","130","115","53.06","12.87","87.40","710","668","51.52","510","472","51.93","88","81","52.07","17.25","82.84","987","944","51.11","500","441","53.13","42","34","55.26","8.40","92.29","1455","1258","53.63","773","627","55.21","18","23","43.90","2.33","96.33","7.94","91.47","0.994"
"5","Montreal Canadiens","67","3183.45","18","38","11","16","47","0.351","2746","3124","46.78","2026","2379","45.99","1526","1758","46.47","114","154","42.54","122.13","149.3","45.00","1352","1645","45.11","783","990","44.16","98","134","42.24","12.52","86.46","556","695","44.44","398","506","44.03","55","97","36.18","13.82","80.83","796","950","45.59","385","484","44.30","43","37","53.75","11.17","92.36","1155","1271","47.61","655","688","48.77","16","19","45.71","2.44","97.24","7.47","91.24","0.987"
"6","Toronto Maple Leafs","66","3247.1167","42","19","5","40","89","0.674","3314","2844","53.82","2504","2190","53.34","1814","1619","52.84","163","149","52.24","155.45","125.19","55.39","1817","1408","56.34","1087","861","55.80","146","132","52.52","13.43","84.67","705","566","55.47","513","416","55.22","91","86","51.41","17.74","79.33","1112","842","56.91","574","445","56.33","55","46","54.46","9.58","89.66","1343","1245","51.89","668","664","50.15","16","17","48.48","2.40","97.44","8.99","90.80","0.998"
"7","New York Rangers","68","3346.1333","44","19","5","40","93","0.684","2714","3174","46.09","2059","2359","46.60","1498","1689","47.00","129","124","50.99","125.15","144.87","46.35","1354","1655","45.00","804","933","46.29","109","109","50.00","13.56","88.32","596","674","46.93","444","484","47.84","76","76","50.00","17.12","84.30","758","981","43.59","360","449","44.50","33","33","50.00","9.17","92.65","1192","1333","47.21","628","683","47.90","20","15","57.14","3.18","97.80","8.61","92.66","1.013"
"8","Washington Capitals","68","3309.9833","37","21","10","32","84","0.618","3015","2993","50.18","2314","2222","51.01","1646","1575","51.10","146","125","53.87","133.2","131.3","50.36","1515","1487","50.47","890","855","51.00","124","104","54.39","13.93","87.84","567","583","49.30","391","412","48.69","71","72","49.65","18.16","82.52","948","904","51.19","499","443","52.97","53","32","62.35","10.62","92.78","1298","1291","50.14","676","656","50.75","22","21","51.16","3.25","96.80","8.87","92.06","1.009"
"9","Chicago Blackhawks","67","3268.5833","24","33","10","20","58","0.433","2729","3190","46.11","1973","2297","46.21","1480","1706","46.45","117","150","43.82","111.03","133.96","45.32","1287","1549","45.38","784","923","45.93","101","128","44.10","12.88","86.13","480","533","47.38","363","413","46.78","59","80","42.45","16.25","80.63","807","1016","44.27","421","510","45.22","42","48","46.67","9.98","90.59","1259","1442","46.61","637","729","46.63","16","22","42.11","2.51","96.98","7.91","91.21","0.991"
"10","Colorado Avalanche","67","3169.2833","47","14","6","44","100","0.746","3238","2844","53.24","2343","2146","52.19","1794","1611","52.69","153","114","57.30","134.98","121.67","52.59","1563","1333","53.97","939","816","53.50","125","95","56.82","13.31","88.36","588","571","50.73","443","420","51.33","79","60","56.83","17.83","85.71","975","762","56.13","496","396","55.61","46","35","56.79","9.27","91.16","1458","1290","53.06","770","723","51.57","28","18","60.87","3.64","97.51","8.53","92.92","1.015"
