"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Pittsburgh Penguins","61","3005.9167","36","16","9","34","81","0.664","2883","2639","52.21","2227","1973","53.02","1666","1484","52.89","127","111","53.36","130.57","114.67","53.24","1430","1290","52.57","903","796","53.15","115","100","53.49","12.74","87.44","574","504","53.25","456","398","53.40","77","74","50.99","16.89","81.41","856","786","52.13","447","398","52.90","38","26","59.38","8.50","93.47","1271","1177","51.92","684","614","52.70","12","11","52.17","1.75","98.21","7.62","92.52","1.001"
"2","Tampa Bay Lightning","59","2825.0667","38","15","6","36","82","0.695","2513","2443","50.71","1955","1861","51.23","1363","1357","50.11","133","105","55.88","119.08","104.34","53.30","1392","1279","52.12","798","772","50.83","112","91","55.17","14.04","88.21","593","460","56.32","414","351","54.12","72","63","53.33","17.39","82.05","799","819","49.38","384","421","47.70","40","28","58.82","10.42","93.35","1003","1041","49.07","522","534","49.43","20","14","58.82","3.83","97.38","9.76","92.26","1.020"
"3","Seattle Kraken","61","2972.3","18","37","6","16","42","0.344","2565","2554","50.11","1898","1931","49.57","1364","1390","49.53","108","147","42.35","102.59","110.89","48.06","1194","1238","49.10","703","712","49.68","86","124","40.95","12.23","82.58","461","486","48.68","340","358","48.71","57","80","41.61","16.76","77.65","733","752","49.36","363","354","50.63","29","44","39.73","7.99","87.57","1198","1159","50.83","619","610","50.37","22","23","48.89","3.55","96.23","7.92","89.42","0.973"
"4","Vegas Golden Knights","62","3045.25","32","26","4","28","68","0.548","3063","2761","52.59","2291","1955","53.96","1683","1440","53.89","135","128","51.33","138.75","125.19","52.57","1502","1438","51.09","897","811","52.52","117","105","52.70","13.04","87.05","622","601","50.86","451","425","51.48","78","75","50.98","17.29","82.35","880","837","51.25","446","386","53.61","39","30","56.52","8.74","92.23","1317","1107","54.33","702","547","56.20","17","22","43.59","2.42","95.98","8.02","91.11","0.991"
"5","Montreal Canadiens","60","2851.0167","16","36","8","14","40","0.333","2493","2730","47.73","1846","2090","46.90","1390","1533","47.55","100","139","41.84","110.13","127.71","46.30","1229","1409","46.59","717","838","46.11","86","121","41.55","11.99","85.56","505","584","46.37","365","421","46.44","48","90","34.78","13.15","78.62","724","825","46.74","352","417","45.77","38","31","55.07","10.80","92.57","1044","1138","47.85","591","623","48.68","14","18","43.75","2.37","97.11","7.19","90.93","0.981"
"6","Toronto Maple Leafs","60","2968.3","38","17","5","36","81","0.675","3054","2614","53.88","2297","2025","53.15","1661","1496","52.61","150","136","52.45","142.76","116.81","55.00","1666","1303","56.11","997","801","55.45","133","120","52.57","13.34","85.02","644","533","54.72","472","392","54.63","86","80","51.81","18.22","79.59","1022","770","57.03","525","409","56.21","47","40","54.02","8.95","90.22","1245","1141","52.18","609","609","50.00","16","16","50.00","2.63","97.37","9.03","90.91","0.999"
"7","New York Rangers","60","2941.8667","38","17","5","34","81","0.675","2370","2845","45.45","1800","2117","45.95","1306","1518","46.25","111","111","50.00","108.95","128.65","45.85","1176","1476","44.34","690","836","45.22","93","97","48.95","13.48","88.40","520","604","46.26","380","438","46.45","63","69","47.73","16.58","84.25","656","872","42.93","310","398","43.79","30","28","51.72","9.68","92.96","1045","1202","46.51","554","611","47.55","18","14","56.25","3.25","97.71","8.50","92.69","1.012"
"8","Washington Capitals","61","2975.5667","33","18","10","30","76","0.623","2716","2685","50.29","2069","1987","51.01","1478","1423","50.95","132","109","54.77","119.42","116.86","50.54","1372","1337","50.65","807","779","50.88","113","90","55.67","14.00","88.45","512","526","49.33","357","373","48.90","65","63","50.78","18.21","83.11","860","811","51.47","450","406","52.57","48","27","64.00","10.67","93.35","1170","1150","50.43","603","584","50.80","19","19","50.00","3.15","96.75","8.93","92.34","1.013"
"9","Chicago Blackhawks","61","2955.2833","22","30","9","19","53","0.434","2492","2840","46.74","1797","2045","46.77","1341","1523","46.82","102","133","43.40","98.97","119","45.40","1170","1377","45.94","700","821","46.02","88","114","43.56","12.57","86.11","427","463","47.98","318","362","46.76","52","72","41.94","16.35","80.11","743","914","44.84","382","459","45.42","36","42","46.15","9.42","90.85","1163","1297","47.28","588","656","47.27","14","19","42.42","2.38","97.10","7.61","91.27","0.989"
"10","Colorado Avalanche","61","2887.1833","43","13","5","40","91","0.746","2952","2609","53.08","2131","1971","51.95","1633","1479","52.47","145","105","58.00","123.26","111.98","52.40","1427","1225","53.81","865","747","53.66","120","86","58.25","13.87","88.49","553","525","51.30","417","386","51.93","77","53","59.23","18.47","86.27","874","700","55.53","448","361","55.38","43","33","56.58","9.60","90.86","1325","1183","52.83","687","664","50.85","25","18","58.14","3.64","97.29","8.88","92.90","1.018"
